ABL Aviation,ablaviation.com,160.153.128.36,no AAAA,0 ablaviation-com.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""v=spf1 include:spf.protection.outlook.com -all"""
Academy of Aviation,aoa.ie,83.138.8.118,no AAAA,0 aoa.ie.,no DS,no CAA,no SPF,"""v=spf1 +a +mx +ip4:83.138.8.111 ~all"""
Accipiter,accipiter.aero,210.3.177.135,no AAAA,0 accipiter-aero.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""ctk41nnvp3tctat76cqmongc27"""
ACG Aircraft Leasing Ireland ,aviationcapitalgroup.com,198.181.8.185,no AAAA,no MX,no DS,no CAA,no SPF,no TXT
Acumen Aviation,acumenaviation.ie,167.99.47.66,no AAAA,0 mx0000.to.yukthi.com.,no DS,no CAA,no SPF,"""google-site-verification=OZzTTZquBLAmInQ9tq3kFmeTdfxC2wviThpQ_NsId9s"""
Aeolous Engine Service,aeolus-engineservices.com,23.235.202.124,no AAAA,0 aeolusengineservices-com01e.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""v=spf1 include:spf.protection.outlook.com -all"""
Aer Lingus,aerlingus.com,52.50.83.82,no AAAA,20 smtp4.aerlingus.com.,no DS,no CAA,no SPF,"""v=spf1 a:hybrid.aerlingus.com a:smtp.fexcodccapps.com a:smtp3.aerlingus.com a:smtp4.aerlingus.com a:mail.aerlingusgoldcircleclub.com a:mailgw1.aerlingus.com a:mailgw2.aerlingus.com"""
Aer Rianta International,ari.ie,13.74.147.166,no AAAA,30 mail1.eircom.net.,no DS,no CAA,no SPF,"""MS=ms83725698 3600"""
Aercap,aercap.com,212.188.187.58,no AAAA,50 cluster3.eu.messagelabs.com.,no DS,no CAA,no SPF,"""aercap.com"""
Aerdata,aerdata.com,5.61.250.108,no AAAA,0 aerdata-com.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""MS=ms45810994"""
Aergo Capital,aergocapital.com,217.115.112.200,no AAAA,10 aergocapital-com.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""MS=ms77508901"""
Aero Inspection,aii.ie,79.170.246.48,no AAAA,10 aii-ie.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""MS=ms89434823"""
Airbus,airbus.com,216.87.148.114,no AAAA,8 mx2.myeers.net.,no DS,no CAA,no SPF,"""google-site-verification=qNUfmr836-uDRSOHeIM--luadzUWyZuK6DXNj0xQ0lQ"""
Aircastle Ireland,aircastle.com,216.239.34.21,2001:4860:4802:32::15,10 mx0a-002e9a01.pphosted.com.,no DS,no CAA,no SPF,"""google-site-verification=GYFl5CPcE3rHB7OXQi-oR1hRa601u4cez70k99kmado"""
Aircraft Leasing Ireland,aircraftleasingireland.ie,23.101.57.45,no AAAA,20 ibec.ie.mail2.emailantidote.com.,no DS,no CAA,no SPF,no TXT
Apollo Aviation Group,apollo.aero,67.225.146.43,no AAAA,5 us-smtp-inbound-2.mimecast.com.,no DS,no CAA,no SPF,"""OLXNywFG5waOmdSNE7IEhMxJlvtqyN81YnJaKCoVovTG7trDbrLzHZSXacfxCU9RFMXxrm5DlBC2hD0113DKBQ=="""
Arup,arup.com,149.126.107.61,no AAAA,10 mx1.hc676-42.c3s2.iphmx.com.,no DS,no CAA,no SPF,"""MS=ms57019519"""
ASL Airlines Ireland,aslairlines.ie,78.153.214.4,no AAAA,0 aslairlines-ie.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""MS=ms21157285"""
Atlantic Air Adventures,atlanticairadventures.com,78.153.218.37,no AAAA,10 smtp1r.cp.blacknight.com.,no DS,no CAA,no SPF,"""v=spf1 a include:spf.blacknight.ie ~all"""
Atlantic Aviation Group,atlanticaviation.ie,85.233.160.22,no AAAA,30 mail.atlanticaviation.ie.,no DS,no CAA,no SPF,"""MS=A7E5EB9815471009C5CE7F27C9A565FC7B2BC58B"""
Atlantic Flight Training Academy,afta.ie,80.85.86.251,no AAAA,0 afta-ie.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""v=spf1 +a +mx +ip4:80.85.86.251 include:spf.protection.outlook.com ~all"""
Avolon,avolon.aero,34.248.113.122,no AAAA,10 eu-smtp-inbound-2.mimecast.com.,no DS,no CAA,no SPF,"""docusign=0e25be8a-f844-4462-a04c-81306dffd3be"""
Baseline Aviation Services,baselineaviationservices.com,78.153.214.19,no AAAA,30 baselineaviationservices.com.mx6.fusemail.net.,no DS,no CAA,no SPF,"""v=spf1 include:spf.protection.outlook.com -all"""
BOC Aviation,bocaviation.com,180.150.143.248,no AAAA,15 mail-a.bocaviation.com.,no DS,no CAA,no SPF,"""v=spf1 mx -all"""
CAE,cae.com,69.90.8.153,no AAAA,20 cae-com.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""MS=ms10847842"""
CAE Parc Aviation,caeparcaviation.com,23.102.12.43,no AAAA,0 caeparcaviation-com.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""v=spf1 ip4:142.39.0.0/16 ip4:207.253.11.0/25 ip4:207.96.208.128/26 ip4:198.47.10.0/24 ip4:198.47.12.0/24 include:spf.protection.outlook.com -all"""
CALC,calc.com.hk,117.18.105.163,no AAAA,20 qiye163mx02.mxmail.netease.com.,no DS,no CAA,no SPF,"""pthv24JXg4wgmCkjYpJWJZFxv7cgSYu6"""
CDB Aviation,cdbaviation.aero,no A,2620:12a:8000::3,10 d151162b.ess.barracudanetworks.com.,no DS,no CAA,no SPF,"""v=spf1 ip4:118.143.68.18 ip4:59.152.236.74 ip4:52.184.26.132 ip4:13.75.89.127 include:spf.protection.outlook.com include:spf.emailsignatures365.com ~all"""
CHC Helicopters,chcheli.com,209.97.197.76,no AAAA,20 smtp5.chc.ca.,no DS,no CAA,no SPF,"""v=spf1 mx ip4:69.10.141.16 ip4:5.44.24.136 ~all"""
Chorus Aviation Capital Ireland,chorusaviation.ca,199.230.28.57,no AAAA,10 mx1.hc107-48.ca.iphmx.com.,no DS,no CAA,no SPF,"""v=spf1 ip4:142.176.36.9 ip4:142.176.6.149 ip4:142.176.6.155 ip4:142.176.36.57 ip4:216.71.129.159 ip4:216.71.133.37 ip4:216.71.129.161 ip4:216.71.133.33 include:spf.protection.outlook.com -all"""
Cityjet,cityjet.com,89.185.149.84,no AAAA,20 domino.cityjet.com.,no DS,no CAA,no SPF,"""v=spf1 include:spf1.cityjet.com include:spf2.cityjet.com include:spf3.cityjet.com -all"""
CloudCards,cloudcards.ie,91.223.9.70,no AAAA,10 ALT3.ASPMX.L.GOOGLE.COM.,no DS,no CAA,no SPF,"""v=spf1 include:_spf.google.com ~all"""
daa,daa.ie,13.74.147.166,no AAAA,20 cluster5a.eu.messagelabs.com.,no DS,no CAA,no SPF,"""MS=ms86114067"""
DAE Capital,dubaiaerospace.com,78.137.168.103,no AAAA,10 st1.mimail.ie.,no DS,no CAA,no SPF,"""MS=ms56679174"""
DCU,dcu.ie,52.31.60.123,no AAAA,5 alt2.aspmx.l.google.com.,no DS,no CAA,no SPF,"""google-site-verification=OYSjDhQ83PdCvam2LmLQ97vUl4-W7CJeOGKQ0F8v8Jk"""
DIT,dit.ie,147.252.25.70,no AAAA,20 ALT1.ASPMX.L.GOOGLE.COM.,no DS,no CAA,no SPF,"""MS=ms44657645"""
Donegal Airport,donegalairport.ie,82.145.53.206,no AAAA,0 donegalairport.ie.,no DS,no CAA,no SPF,"""v=spf1 ip4:87.117.230.175 +a +mx +ip4:82.145.53.206 +ip4:82.145.53.203 ~all"""
DMS Governance,dmsgovernance.com,104.27.191.101,2606:4700:30::681b:be65,10 je-smtp-inbound-1.mimecast-offshore.com.,no DS,no CAA,no SPF,"""0ed1fe018a7fe25e9b4ed5494abedea71483034984"""
Dublin Aerospace,dublinaerospace.com,173.236.96.2,no AAAA,10 dublinaerospace.ie.,no DS,no CAA,no SPF,"""v=spf1 mx ptr ip4:89.191.34.134 mx:dublinaerospace.ie mx:dublinaerospace.com -all"""
Eirtech Aviation Services,eirtechaviation.ie,78.137.122.17,no AAAA,0 eirtechaviation-ie.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""MS=ms12453233"""
Eirtrade Aviation,eirtradeaviation.com,205.186.183.158,no AAAA,30 ASPMX5.GOOGLEMAIL.com.,no DS,no CAA,no SPF,"""v=spf1 include:_spf.google.com ~all"""
ELFC,elfc.com,52.212.37.253,no AAAA,40 ennis.elfc.com.,no DS,no CAA,no SPF,"""v=spf1 ip4:86.47.123.130/32 ip4:86.47.123.136/32 ip4:86.47.123.137/32 ip4:31.193.216.246/32 ip4:83.70.146.193/32 include:spf.protection.outlook.com -all"""
Elix Aviation Capital,elix.aero,95.216.8.152,no AAAA,5 alt2.aspmx.l.google.com.,no DS,no CAA,no SPF,"""MS=ms77153948"""
Enterprise Ireland,enterprise-ireland.com,34.242.84.22,no AAAA,1 enterpriseireland-com02e.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""ms=ms10971092.enterprise-ireland.com."""
Eversheds Sutherland,eversheds-sutherland.com,165.160.13.20,no AAAA,10 eu-smtp-inbound-2.mimecast.com.,no DS,no CAA,no SPF,no TXT
EY,ey.com,199.52.9.62,no AAAA,20 em03.ey.com.,no DS,no CAA,no SPF,"""docusign=d8aadd18-ba88-48a6-b430-c8035d990a55"""
Flying in Ireland,flyinginireland.com,107.6.160.82,no AAAA,20 mx20.mailspamprotection.com.,no DS,no CAA,no SPF,no TXT
FPG Amentum,fpg-amentum.aero,35.197.248.246,no AAAA,0 fpgamentum-aero0i.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""v=spf1 include:spf.protection.outlook.com -all"""
GECAS,gecapital.com,204.74.99.100,no AAAA,20 mx0a-00176a02.pphosted.com.,no DS,no CAA,no SPF,"""BuoQnNOO1NZoOChOVXefJbjNnUaABCX9woIUz7HGocN1NO3tKvamoHAdAbTaELPcHQEntpAaOeASXCCY7/96/w=="""
Genesis Aircraft Services,genesis.aero,35.197.244.89,no AAAA,0 genesis-aero.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""MS=ms66992443"""
Goshawk Management,goshawk.aero,78.153.213.8,no AAAA,0 goshawk-aero.mail.protection.outlook.com.,no DS,no CAA,no SPF,"""I0N0V19803"""
Grant Thornton,grantthornton.ie,89.145.70.13,no AAAA,40 eu-smtp-inbound-2.mimecast.com.,no DS,no CAA,no SPF,"""MS=ms60393295"""
