ABL Aviation,ablaviation.com,200,1963,200,1963,*.prod.ams3.secureserver.net;*.prod.ams3.secureserver.net;prod.ams3.secureserver.net;,fb57cf1372e6181c66e5bfa05fb2e0da5b5aafa633302684b7435c00781ecdba,True,False,2048,49199,True,200,63184,ablaviation.easyguests.com;ablaviation.com;ablaviation.easyguests.com;www.ablaviation.com;mail.ablaviation.com;www.ablaviation.easyguests.com;,ff54119d458273094c3380a598decff3ddaa95e3bce0d174da6cebf458a6a631,True,True,2048,49199,False
Academy of Aviation,aoa.ie,200,163,200,799,webhostireland.ie;www.webhostireland.ie;webdisk.webhostireland.ie;webmail.webhostireland.ie;cpanel.webhostireland.ie;mail.webhostireland.ie;webhostireland.ie;autodiscover.webhostireland.ie;,416055cc9336a1bff68b3ed5e07e54a18b19b1ad1aec8ba0b0cbcef8c411ef68,True,False,2048,49199,True,200,58072,aoa.ie;autodiscover.aoa.ie;aoa.ie;mail.aoa.ie;cpanel.aoa.ie;webmail.aoa.ie;webdisk.aoa.ie;www.aoa.ie;,2107d85f12c7b2c37ca0d266f44900ecd4a93ba54af3325ac6437e1d93963352,True,False,2048,49199,True
Accipiter,accipiter.aero,401,1243,301,234,newsletter.cki.com.hk;www.cki.com.hk;www.endeavouraustraliacheungkong.com.hk;www.cki.com.hk;cki.com.hk;,928cd79f254e4d8992215465392d9b9b605efecf2317c9e63f1d083ba8114c9d,True,False,2048,49172,True,301,235,webcastreg.ckah.com;www.la-grande-ville.com.cn;ckah.com;www.ckah.com;www.21borrettroad.hk;www.oceanpride.com.hk;www.lasplendeur.com.hk;www.ckmalls.com.hk;www.lakecomo.com.cn;webcastreg.ckph.com.hk;www.huixianreit.com;www.1881heritage.com;mailgw01.ckah.com;www.horizonhotels.com.hk;www.clublifestyle.com.hk;webfilter.ckah.com;www.seanorama.com.hk;www.upperwestshanghai.com.cn;www.lamansion.hk;www.mycentral.hk;www.accipiter.aero;www.ckph.com.hk;www.harbourglory.com.hk;mailgw02.ckah.com;www.starsbytheharbour.com.hk;www.hemera.com.hk;www.90repulsebayroad.com.hk;www.regal-lake.com.cn;www.thezumurud.com.hk;www.ckah.com;,7651d65fc3240a2a4f648df0237075bc136fa09c67a976e694a01a94ba51644b,True,False,2048,49172,True
ACG Aircraft Leasing Ireland ,aviationcapitalgroup.com,999,90,302,153,www.aviationcapitalgroup.com;www.aviationcapitalgroup.com;aviationcapitalgroup.com;,010fb51ba79ac03bb6e1a3ec36bcaf4cc93c3a6706a9311f2110e411aafe0e44,True,False,2048,49172,True,302,153,aviationcapitalgroup.com;www.aviationcapitalgroup.com;www.aviationcapitalgroup.com;,010fb51ba79ac03bb6e1a3ec36bcaf4cc93c3a6706a9311f2110e411aafe0e44,True,False,2048,49172,True
Acumen Aviation,acumenaviation.ie,301,194,301,26,www.acumenaviation.ie;empower.acumenaviation.ie;mail.acumenaviation.ie;emis.acumenaviation.ie;sparta.acumenaviation.ie;www.acumenaviation.ie;acumenaviation.ie;,7dc37427154c49093d915ddd11c0094cf2153dd749623f245f071f2ce8d227de,True,False,2048,49199,True,200,68440,www.acumenaviation.ie;acumenaviation.ie;www.acumenaviation.ie;sparta.acumenaviation.ie;emis.acumenaviation.ie;mail.acumenaviation.ie;empower.acumenaviation.ie;,7dc37427154c49093d915ddd11c0094cf2153dd749623f245f071f2ce8d227de,True,False,2048,49199,True
Aeolous Engine Service,aeolus-engineservices.com,200,131,200,116135,pemastore.com;pemastore.com;www.pemastore.com;,377ec044dce73e2a09985251f25c3587213051d9a9bf796354ccad70f45e263d,True,False,2048,49199,True,200,116135,www.pemastore.com;pemastore.com;pemastore.com;,377ec044dce73e2a09985251f25c3587213051d9a9bf796354ccad70f45e263d,True,False,2048,49199,True
Aer Lingus,aerlingus.com,301,243,301,243,*.aerlingus.com;*.aerlingus.com;aerlingus.com;,788da47e09e706cb8d5a4776f98b2e908d72a4945f5ea790eaeb4268c553d28c,True,False,2048,49199,True,301,244,aerlingus.com;*.aerlingus.com;*.aerlingus.com;,788da47e09e706cb8d5a4776f98b2e908d72a4945f5ea790eaeb4268c553d28c,True,False,2048,49199,True
Aer Rianta International,ari.ie,404,2776,404,2776,*.azurewebsites.net;*.sso.azurewebsites.net;*.azure-mobile.net;*.scm.azure-mobile.net;*.azurewebsites.net;*.scm.azurewebsites.net;,3ad191ee2c6fa994f1687e9ce55a5e8dee0850c81d7ea818748ab96729147207,True,False,2048,49199,True,301,142,*.azurewebsites.net;*.scm.azurewebsites.net;*.azurewebsites.net;*.scm.azure-mobile.net;*.azure-mobile.net;*.sso.azurewebsites.net;,3ad191ee2c6fa994f1687e9ce55a5e8dee0850c81d7ea818748ab96729147207,True,False,2048,49199,True
Aercap,aercap.com,404,315,404,315,aercap.com;aercap.com;www.aercap.com;,8a4aa56c04d4316ba58fd746b0e9b3a4ab3da9e2d9d6ddc176619dba4db97d97,True,False,2048,49172,True,301,146,www.aercap.com;aercap.com;aercap.com;,8a4aa56c04d4316ba58fd746b0e9b3a4ab3da9e2d9d6ddc176619dba4db97d97,True,False,2048,49172,True
Aerdata,aerdata.com,200,853,999,110,,,-1,-1,-1,-1,-1,301,147,aerdata.com;www.aerdata.com;aerdata.nl;www.aerdata.nl;www.aerdata.com;,6773a18b7f8deee6161db2145a92ede809599b7d89781f6d11a1f5eac7356655,True,False,2048,49172,True
